id,displayname,latitude,longitude,photo-available
kgs-sport-platz-3,Mike,52.26074568803788,9.756889009500362,true
kgs-sport-platz-4,Chantal,52.260666465718344,9.756798159625028,true
kgs-sport-platz-5,Julian,52.26014448918122,9.757692287077989,true
kgs-sport-platz-6,Chico,52.260169826700356,9.757534162689502,true
kgs-b-gebaeude-nord,Siegfried,52.26025034719976,9.755631507617725,true
kgs-innenhof-nord,Philipp,52.260016521726214,9.755438242214176,true
kgs-innenhof-mitte,Robert,52.25972558373994,9.75538508858322,true
kgs-innenhof-sued,Bill,52.25945881910226,9.755480426288054,true
kgs-lehrerzimmer-1,Lea,52.259168349579035,9.755215964735969,true
kgs-lehrerzimmer-2,Werner,52.25922792714841,9.755301455801682,true
kgs-lehrerzimmer-3,Marc,52.25921223144689,9.755739348695915,true
kgs-a-b-innenhof,Isabella,52.25921223144689,9.755739348695915,true
kgs-a-eingang,Rosa,52.2597579880747,9.755944125968531,true
kgs-foerder-schule,Beatrice,52.26040818681481,9.756477150922823,true
ludwig-erhard-strasse-ost,Diana,52.268338733270376,9.776828660560934,true
ludwig-erhard-strasse-west,Yara,52.268425322248284,9.776981488964331,true
walter-bruch-strasse-ost,Jakob,52.26508138197312,9.778552331464073,true
briefzentrum,Lorenz,52.261042921649164,9.779917816366774,true
