id,displayname,latitude,longitude,photo-available
reden-ihssengasse-nord,Franz,52.28166572246294,9.783117034856605,true
reden-ihssengasse-sued,Sissie,52.28155766651593,9.783284892173134,true
reden-stromkasten,Marvin,52.28117768279931,9.784511808326458,true
reden-fuchsbach,Simon,52.275079,9.777403,true
reden-kindergarten-1,Torben,52.282496001398464,9.781257743337205,true
reden-kindergarten-2,Liselotte,52.2823788253346,9.781009581268538,true
reden-feuerwehr,Jason,52.28239913837341,9.780482694056014,true
reden-spielplatz,Marie,52.28236497804849,9.78025106604442,true
reden-dorfstrasse,Nora,52.28304839702732,9.783235477337255,true
spielplatz-bruesseler-strasse-1,Jannik,52.272159293245586,9.751737712528968,true
spielplatz-bruesseler-strasse-2,Hannes,52.27232493713426,9.752146524409715,true
spielplatz-bruesseler-strasse-3,Nils,52.272427562614155,9.75260152421872,true
wiener-weg,Frieda,52.272131418315745,9.754319743635184,true
spielplatz-usedomer-strasse-1,Kai,52.269469438603146,9.750281971291194,true
spielplatz-usedomer-strasse-2,Nia,52.26936043412204,9.750265388631382,true
hornfeld,Heidi,52.26922571494883,9.7478617817067,true
spielplatz-horne,Hank,52.2689902781272,9.744505933519125,true
spielplatz-gogericht,Theo,52.26733964234496,9.749008318102304,true
spielplatz-archiv,Caspar,52.26667087832544,9.745764404009655,true
hiddestorfer-strasse-ost,Hanni,52.26601262048298,9.750562111319766,true
hiddestorfer-strasse-west,Nanni,52.265545165222285,9.750491654049085,true
pattenser-bad,Nico,52.26386615439506,9.747291709076023,true
schuetzen-allee,Wilhelm,52.26474810777517,9.74899807267583,true
motoball,Krakauer,52.261113410148724,9.74760272301105,true
loensstrasse,Robin,52.26933243560131,9.753490374123398,true
greifswalder-strasse-1,Samuel,52.26692320317604,9.752658688374222,true
greifswalder-strasse-2,Magnus,52.26636972231624,9.750754852304867,true
max-eyth-strasse-nord,Han,52.26575957965547,9.754773322452872,true
max-eyth-strasse-sued,Chewie,52.26557798693113,9.754644577345061,true
schaeferkamp,Eldric,52.2640184612919,9.754738708596994,true
spielplatz-liebigstrasse-1,Frodo,52.26956088899013,9.75987142711759,true
spielplatz-liebigstrasse-2,Sam,52.269499685273814,9.759476575721889,true
schoeneberger-strasse-ost-1,Peter,52.26878926295409,9.7632773282471,true
schoeneberger-strasse-ost-2,Lois,52.26858799034976,9.76338003513072,true
schoeneberger-strasse-west,Stewie,52.26886246234771,9.76303653402241,true
spielplatz-berliner-strasse,Cedar,52.26907274484013,9.765919920065713,true
spielplatz-zehlendorfer-strasse,Leonard,52.267354951248706,9.76714233590953,true
spielplatz-redener-weg,Violet,52.26935378271114,9.770397490336885,true
rodelberg,Santa,52.26931858162936,9.770648454909587,true
fuchsbachpark-1,Tick,52.266154206540705,9.767296746759838,true
fuchsbachpark-2,Trick,52.26598776204211,9.766947694877446,true
fuchsbachpark-3,Track,52.265601995342,9.766673823626446,true
fuchsbachpark-4,Donald,52.26587461679044,9.767256844382675,true
am-fuchsbach,Dagobert,52.26715965365692,9.769388756313777,true
koldinger-strasse-nord,Tom,52.26576637889423,9.769155234205511,true
koldinger-strasse-sued,Jerry,52.26605777710723,9.77003749673003,true
spielplatz-lange-heese,Clement,52.26322611540224,9.76971636502936,true
nordstrasse-nord,Katniss,52.26678543485534,9.760605267208778,true
nordstrasse-sued-1,Peeta,52.266702152579285,9.761547567210734,true
nordstrasse-sued-2,Gale,52.26665901108939,9.761303808810007,true
bruchwiesenweg-1,Anna,52.265603998059326,9.760792906793917,true
bruchwiesenweg-2,Lukas,52.26606360830817,9.76059805070861,true
spielplatz-bruchwiesen-1,Sophie,52.26570118215716,9.761086583171096,true
spielplatz-bruchwiesen-2,Elias,52.26577867342529,9.761139344325217,true
spielplatz-bruchwiesen-3,Lara,52.26581255801427,9.761215630484275,true
spielplatz-bruchwiesen-4,Tim,52.265992895444484,9.76105035606915,true
spielplatz-bruchwiesen-5,Maria,52.2660187668824,9.761095841381765,true
huepeder-bach,Laura,52.26522641951346,9.759775533534548,true
grundschule-1,Ingrid,52.264781418347155,9.761461463240419,true
grundschule-2,Miriam,52.26468332267083,9.761350773183661,true
volksbank-1,Clara,52.264828685252446,9.760868988611435,true
volksbank-2,Moritz,52.26459981163959,9.760795960219795,true
vgh,Olaf,52.26430179538604,9.761696691480102,true
zum-daenen,Pepe,52.26418904985945,9.761633430698355,true
burgweg,Noah,52.26373278506714,9.763520512259403,true
sparkasse,Katharina,52.263647388723456,9.7647214698862,true
zob-1,Michael,52.263064869213416,9.764826434971411,true
zob-2,Julia,52.26330271494835,9.764909357869005,true
zob-3,Eva,52.26343939329481,9.764995875975673,true
zob-4,Carla,52.263572779886346,9.765053395852995,true
zob-5,Thomas,52.26337437560253,9.76529117884785,true
rewe-1,Henry,52.263178113977,9.764399183352532,true
rewe-2,Petra,52.263150639972366,9.764523187283398,true
friedhof,Uwe,52.26122707657564,9.764772342994553,true
rathaus-1,Lana,52.2607670684588,9.762084676668081,true
rathaus-2,Gregor,52.26087953717176,9.762611860228734,true
bahnstrasse,David,52.26060949245253,9.761224988748321,true
kgs-pattensen-neuer-weg,Jürgen,52.26002463333169,9.760052135346477,true
kgs-fahrradkaefig-1,Alfred,52.25998897315327,9.758721959056444,true
kgs-fahrradkaefig-2,Stella,52.259965277575205,9.758287899997296,true
kgs-fahrradkaefig-3,Marieke,52.25977412501101,9.757978967449846,true
kgs-fahrradkaefig-4,Ralf,52.260110319558805,9.75824018595274,true
kgs-sporthalle-1,Jan,52.25965661481616,9.757674947652246,true
